RMA ID,RMA Line,SO ID,SO Line,Invoice ID,Customer ID,Item ID,Rev,Item Name,Return Qty,Unit Price,RMA Status,Credit/Replace Option,Reason Code,Disc. %,Sales Tax,Extra Charges,Extra Charge Desc,Extended Amt,Project ID,Misc Line Description,Problem Desc.,Replacement Complete
RMA13348,1,,,,C1845,3701-D2-S-10,,BEVELED TRUE ZERO ROUND THIN TRIMLESS & MILLWORK WHITE SOLITE LENS-TRM,723,$82.00,Closed,Credit Only,SHIPPING ERROR,0,$0.00,,,"$59,286.00",,,,
RMA13348,2,,,,C1845,B4RDF-S-WH-WH-TRM,,BEVELED ROUND TRMD DL/ADJ SOLITE LENS WHITE,92,$70.00,Closed,Credit Only,,0,$0.00,,,"$6,440.00",,,,
RMA13348,3,,,,C1845,LRLD4Z-9016-C3-30KS-90-NCSZL-120V-DIML19,,BEVELED 2.1 TRUE ZERO RND THIN TRMLSS 16W-3000KS-90° DN NEW CONSTRUCTION SMALL HSG -120V-DIML19,47,$281.00,Closed,Credit Only,,0,$0.00,,,"$13,207.00",,,,
RMA13347,1,,,,C4823,LRTD4-9014-M2-35KS-50-NCSM-277V-DIML2-TZ,,BEVELED BASIC ROUND TRIMMED 14W-3500KS-50° DOWNLIGHT NEW CONSTRUCTION SMALL HSG-277V-DIML2-TZ,29,$0.00,Entered,Credit Only,SHIPPING ERROR,0,$0.00,,,$0.00,,,"ORIG SO#100129/ INV#128852-- REPORTED SHIPPED INCORRECTLY
REPL SO#100157 / INV#TBD -- RESHIPPING",
RMA13346,1,,,,C1511,SP-371-RD-K-SOF,,LENS REPLACEMENT RD SIZE K SOLITE FROSTED,54,$6.00,Entered,Credit Only,SHIPPING ERROR,0,$0.00,,,$324.00,,,"ORIG SO#98162 / INV#126971 -- REPORTED SHIPPED INCORRECTLY
REPL SO#100156 / INV#TBD -- RESHIPPING",
RMA13345,1,,,,C1649,P3RDF-15L2-35KS-F-WH-TRM,,"BEVELED MINI PRIMARY 3"" RND DNL FLANGE 15W-35KS-FLOOD-WH-TRIM",20,$47.878064,Entered,Credit Only,SHIPPING ERROR,0,$0.00,,,$957.5613,,,"ORIG SO#97433 / INV#128454 -- REPORTED SHIPPING ERROR - 
REPL SO#100054 / INV#TBD -- RESHIPPING
",
RMA13344,2,,,,C1313,B4SDL-S-BL-TRM,,BEVELED SQUARE TRML DL/ADJ SOLITE LENS BLACK,2,$0.00,Entered,Credit Only,SHIPPING ERROR,0,$0.00,,,$0.00,,,"ORIG SO#96531 / INV#125044 -- REPORTED SHIPPED INCORRECTLY
REPL SO#100069 / INV#128685 -- RESHIPPED
",
RMA13344,1,,,,C1313,B4SAF-25-SF-AC-WH-TRM,,BEVELED SQUARE TRMD DL/ADJ SOLITE FROSTED LENS CLEAR MATTE ANOD BEVEL WHITE FLANGE TRIM,6,$0.00,Entered,Credit Only,SHIPPING ERROR,0,$0.00,,,$0.00,,,"ORIG SO#96531 / INV#125044 -- REPORTED SHIPPED INCORRECTLY
REPL SO#100069 / INV#128685 -- RESHIPPED
",
RMA13342,1,,,,C4258,SP-160-0500-2,,DRIVER REPLACEMENT BEVELED MINI FT HSG 20W 500mA 120V-277V-DIML2-TR,10,$54.00,Entered,Credit Only,,0,$0.00,,,$540.00,,,ORIGINAL SO# 83197 //   REPORTED LED'S ARE SHOWING AMBER COLOR  // CREDIT UPON RECEIPT   //   RETURN LABELS ARE ENCLOSE WITHIN THE PACKING SLIP ENVELOPE.   ,
RMA13342,2,,,,C4258,LEM-203-00-35KS,,LIGHT ENGINE MODULE REPLACEMENT NANO/MINI BEVELED STD CRI 3500K,10,$85.00,Entered,Credit Only,,0,$0.00,,,$850.00,,,ORIGINAL SO# 83197 //   REPORTED LED'S ARE SHOWING AMBER COLOR  // CREDIT UPON RECEIPT   //   RETURN LABELS ARE ENCLOSE WITHIN THE PACKING SLIP ENVELOPE.   ,
RMA13341,2,SO93540,,,C4552,LEM-240-00-30KS,,LIGHT ENGINE MODULE REPLACEMENT-BEVELED 2.1/2.2 9-33W 80CRI 3000K,1,$96.00,Entered,Credit Only,,0,$0.00,,,$96.00,,,ORIGINAL SO#96540  //   REPORTED DEFECTIVE    // CREDIT UPON RECEIPT   //   RETURN LABELS ARE ENCLOSE WITHIN THE PACKING SLIP ENVELOPE.   ,
